H3,H1,H3,H3,H3
H1,L5,H1,L2,L2
L5,L3,L5,L5,L5
L3,L4,L3,L3,L3
L4,L2,L4,L4,L4
L2,L1,L2,H1,H1
L1,H3,L1,L1,L1
L5,L5,L5,L2,L2
L3,L3,L3,L5,L5
L4,L4,L4,L3,L3
L2,L2,L2,L4,L4
H4,H4,H4,H4,H4
H2,L1,H2,H2,H2
L1,H2,L1,L1,L1
L5,L5,L5,L5,L5
L3,L3,L3,L2,L2
L4,L4,L4,L3,L3
L2,L2,L2,L4,L4
H3,W,H3,H3,H3
W,L5,W,W,W
L5,L1,L5,L5,L5
L1,L3,L1,L1,L1
L3,L4,L3,L3,L3
L4,H3,L4,L4,L4
L2,L2,L2,L2,L2
H1,H1,H1,H1,H1
L5,L5,L5,L5,L5
H4,H4,H4,H4,H4
L1,L1,L1,L1,L1
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L2,L2,L2,L2,L2
L5,L5,L5,L5,L5
H2,H2,H2,H2,H2
L3,L3,L3,H3,H3
L4,L4,L4,L3,L3
L1,L1,L1,L4,L4
H3,M,H3,L1,L1
L5,L5,L5,L2,L2
L2,L2,L2,L5,L5
M,H3,M,M,M
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L1,L1,L1,L1,L1
H4,H4,H4,L2,L2
L5,L5,L5,H4,H4
L2,L2,L2,L5,L5
W,W,W,W,W
H1,L3,H1,H1,H1
L3,L4,L3,L3,L3
L4,H1,L4,L4,L4
L1,L1,L1,L1,L1
L5,S,L5,L5,L5
L2,L5,L2,L2,L2
H3,L2,H3,H3,H3
L3,H2,L3,L3,L3
L4,L3,L4,L4,L4
H2,L4,H2,H2,H2
L5,L5,L5,L5,L5
L1,L1,L1,L2,L2
L2,H4,L2,L1,L1
H4,L2,H4,H4,H4
L3,H3,L3,L3,L3
L4,L3,L4,L4,L4
L5,L4,L5,L5,L5
L1,L5,L1,L2,L2
L2,L1,L2,L1,L1
L3,L2,L3,H1,H1
L4,L3,L4,L3,L3
L5,L4,L5,L4,L4
H1,L5,H1,L5,L5
W,H1,W,W,W
H3,W,H3,L2,L2
L1,L1,L1,H3,H3
L2,H2,L2,L1,L1
L3,L2,L3,L3,L3
L4,L3,L4,L4,L4
L5,L4,L5,L5,L5
H2,L5,H2,H2,H2
H4,H4,H4,H4,H4
L1,H3,L1,L2,L2
L5,L1,L5,L1,L1
L3,L5,L3,L5,L5
L4,L3,L4,L3,L3
L2,L4,L2,L4,L4
M,L2,M,L2,L2
L5,M,L5,M,M
L1,L5,L1,L5,L5
L3,L1,L3,L1,L1
L4,L3,L4,L3,L3
L2,L4,L2,L4,L4
H3,L2,H3,H3,H3
H4,H4,H4,H4,H4
L5,H1,L5,L2,L2
H1,L5,H1,L5,L5
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L1,L1,L1,L1,L1
L2,L2,L2,H1,H1
H2,H2,H2,H2,H2
L5,H3,L5,W,W
W,L5,W,L5,L5
L3,W,L3,L2,L2
L4,L3,L4,L3,L3
L1,L4,L1,L4,L4
L2,L1,L2,L1,L1
L5,L2,L5,L5,L5
L3,L5,L3,L2,L2
L4,L3,L4,L3,L3
H3,L4,H3,L4,L4
H4,H4,H4,H3,H3
L1,L1,L1,H4,H4
S,L2,S,L1,L1
L2,L5,L2,L5,L5
L5,L3,L5,L3,L3
L3,L4,L3,L4,L4
L4,H3,L4,L2,L2
H2,H2,H2,H2,H2
H1,L2,H1,H1,H1
L2,L5,L2,L5,L5
L5,L1,L5,L1,L1
L1,H1,L1,L3,L3
L3,L3,L3,L4,L4
L4,L4,L4,L2,L2
W,W,W,W,W
L5,L5,L5,L5,L5
L2,L2,L2,L1,L1
L1,L1,L1,H4,H4
H4,H4,H4,H3,H3
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
H3,L5,H3,L2,L2
L5,L2,L5,L5,L5
L2,L1,L2,L1,L1
L1,H3,L1,L3,L3
L3,L3,L3,L4,L4
L4,L4,L4,L2,L2
L5,L5,L5,L5,L5
H2,H2,H2,H2,H2
H1,L2,H1,H1,H1
L2,H1,L2,L1,L1
L1,L1,L1,L3,L3
L3,L3,L3,L4,L4
L4,L4,L4,L5,L5
L5,L5,L5,H4,H4
H4,H4,H4,L2,L2
H3,M,H3,H3,H3
M,L2,M,M,M
L2,L3,L2,L3,L3
L3,L4,L3,L4,L4
L4,L1,L4,L1,L1
L1,L5,L1,L5,L5
L5,W,L5,L2,L2
W,H3,W,W,W
L2,L2,L2,L3,L3
L3,L3,L3,L4,L4
L4,L4,L4,L5,L5
L5,L5,L5,L1,L1
L1,L1,L1,L2,L2
H2,H2,H2,H2,H2
H4,H4,H4,H4,H4
L5,L5,L5,L5,L5
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L2,L2,L2,L1,L1
L1,L1,L1,H3,H3
H3,H1,H3,L2,L2
H1,L5,H1,H1,H1
L5,L3,L5,L5,L5
L3,L4,L3,L3,L3
L4,L2,L4,L4,L4
L2,L1,L2,L1,L1
L1,H3,L1,L2,L2
W,L5,W,L5,L5
L5,W,L5,W,W
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L2,L2,L2,H4,H4
H4,H4,H4,L1,L1
L1,L1,L1,H2,H2
L5,L5,L5,L5,L5
H2,H2,H2,L2,L2
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L2,L2,L2,H3,H3
H3,L5,H3,L5,L5
L5,L1,L5,L1,L1
L1,H1,L1,L2,L2
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
H1,L2,H1,H1,H1
L2,H3,L2,H4,H4
L5,L5,L5,L5,L5
H4,H4,H4,L1,L1
L1,L1,L1,L2,L2
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
M,L2,M,M,M
L2,L5,L2,L5,L5
L5,M,L5,W,W
W,W,W,H2,H2
H2,L1,H2,H3,H3
L3,S,L3,S,S
L4,L3,L4,L3,L3
L1,L4,L1,L4,L4
H3,H2,H3,L2,L2
L5,L5,L5,L1,L1
L2,L2,L2,L5,L5
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L1,L1,L1,L2,L2
H4,H4,H4,L1,L1
L5,L5,L5,L5,L5
L2,H3,L2,H4,H4
H1,L2,H1,H1,H1
L3,H1,L3,L3,L3
L4,L3,L4,L4,L4
L1,L4,L1,L2,L2
L5,L1,L5,L1,L1
H3,L5,H3,L5,L5
L2,L2,L2,H3,H3
L3,H2,L3,H2,H2
L4,L3,L4,L3,L3
H2,L4,H2,L4,L4
L5,L5,L5,L5,L5
L1,L1,L1,L2,L2
H4,H4,H4,L1,L1
L2,W,L2,H4,H4
W,L2,W,W,W
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L5,L5,L5,L5,L5
L1,H3,L1,L2,L2
L2,L1,L2,L1,L1
L3,L2,L3,H1,H1
L4,L3,L4,L3,L3
L5,L4,L5,L4,L4
H1,L5,H1,L5,L5
H3,H1,H3,L2,L2
L1,L1,L1,H3,H3
H2,H2,H2,L1,L1
L2,L2,L2,L3,L3
L3,L3,L3,L4,L4
L5,L5,L5,L5,L5
L4,L4,L4,H4,H4
H4,H4,H4,H2,H2
L1,H3,L1,L2,L2
L5,L1,L5,L1,L1
L3,L5,L3,L5,L5
L4,L3,L4,L3,L3
L2,L4,L2,L4,L4
M,L2,M,M,M
W,W,W,L2,L2
L5,M,L5,W,W
L1,L5,L1,L5,L5
L3,L1,L3,L1,L1
L4,L3,L4,L3,L3
L2,L4,L2,L4,L4
H3,L2,H3,H3,H3
H4,H4,H4,L2,L2
L5,L5,L5,H4,H4
H1,H1,H1,L5,L5
L3,L3,L3,H1,H1
L4,L4,L4,L3,L3
L1,L1,L1,L4,L4
L2,L2,L2,L1,L1
H2,H2,H2,H2,H2
L5,L5,L5,L5,L5
L3,H3,L3,L2,L2
L4,L3,L4,L3,L3
L1,L4,L1,L4,L4
L2,L1,L2,L1,L1
L5,L2,L5,L5,L5
H3,L5,H3,L2,L2
L3,L3,L3,H3,H3
L4,L4,L4,L3,L3
H4,H4,H4,L4,L4
L1,L1,L1,H4,H4
L2,L2,L2,L1,L1
L5,L5,L5,L5,L5
W,W,W,W,W
L3,L3,L3,L2,L2
L4,L4,L4,L3,L3
H1,H1,H1,L4,L4
L1,H2,L1,H1,H1
L5,L5,L5,L5,L5
L2,L1,L2,L1,L1
H2,L2,H2,H2,H2
L3,H3,L3,L2,L2
L4,L3,L4,L3,L3
L5,L4,L5,L4,L4
L1,L5,L1,L5,L5
S,L2,S,L1,L1
L2,L1,L2,H4,H4
H4,H4,H4,H3,H3
H3,L3,H3,L3,L3
L3,L4,L3,L4,L4
L4,L5,L4,L2,L2
L5,M,L5,L5,L5
L2,L2,L2,L1,L1
L1,L1,L1,M,M
M,L3,M,L3,L3
L3,L4,L3,L4,L4
L4,L5,L4,L2,L2
L5,W,L5,L5,L5
W,H3,W,W,W
H2,H2,H2,H2,H2
L2,L2,L2,H1,H1
L1,L1,L1,L1,L1
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L5,L5,L5,L5,L5
H1,H1,H1,L2,L2
H4,H4,H4,H4,H4
H3,L2,H3,H3,H3
L2,L3,L2,L3,L3
L3,L4,L3,L4,L4
L4,L1,L4,L1,L1
L1,L5,L1,L5,L5
L5,H3,L5,L2,L2
L2,L2,L2,L3,L3
L3,L3,L3,L4,L4
L4,L4,L4,L5,L5
L5,L5,L5,L1,L1
L1,L1,L1,L2,L2
H4,H4,H4,H4,H4
H2,H2,H2,H2,H2
W,L5,W,W,W
L5,L3,L5,L5,L5
L3,L4,L3,L3,L3
L4,L2,L4,L4,L4
L2,L1,L2,L1,L1
L1,W,L1,L2,L2
H3,H1,H3,H3,H3
H1,L5,H1,H1,H1
L5,L3,L5,L5,L5
L3,L4,L3,L3,L3
L4,L2,L4,L4,L4
L2,L1,L2,L1,L1
L1,L5,L1,L2,L2
L5,H3,L5,L5,L5
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
H4,L2,H4,H4,H4
L2,H4,L2,L1,L1
L1,L1,L1,L2,L2
L5,L5,L5,L5,L5
H2,H2,H2,H2,H2
H3,L3,H3,L3,L3
L3,L4,L3,L4,L4
L4,L2,L4,H3,H3
L2,L1,L2,M,M
L5,S,L5,L5,L5
L1,L5,L1,L2,L2
H1,H1,H1,L1,L1
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
W,W,W,H1,H1
L2,L2,L2,W,W
L5,L5,L5,L5,L5
H4,M,H4,L2,L2
L1,H4,L1,L1,L1
L3,L1,L3,H4,H4
L4,L3,L4,L3,L3
M,L4,M,L4,L4
L2,H3,L2,L5,L5
L5,L5,L5,H3,H3
H3,L2,H3,L2,L2
L1,L1,L1,L1,L1
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
H2,H2,H2,H2,H2
L5,L5,L5,L5,L5
L2,L2,L2,L2,L2
L3,H4,L3,L3,L3
L4,L3,L4,L4,L4
L1,L4,L1,L1,L1
H4,L1,H4,H4,H4
L5,L5,L5,L5,L5
H1,H1,H1,H1,H1
L2,L2,L2,W,W
W,H3,W,L2,L2
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L1,L1,L1,L1,L1
L5,L5,L5,L5,L5
H3,W,H3,H3,H3
L2,L2,L2,H2,H2
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L5,L5,L5,L2,L2
L1,H2,L1,L5,L5
H2,L1,H2,L1,L1
H4,H4,H4,H4,H4
L2,L2,L2,L3,L3
L3,L3,L3,L4,L4
L4,L4,L4,L5,L5
L5,L5,L5,L2,L2
L1,H3,L1,L1,L1
H1,L1,H1,H1,H1
L2,H1,L2,L3,L3
L3,L2,L3,L4,L4
L4,L3,L4,L5,L5
L5,L4,L5,L2,L2
H3,L5,H3,H3,H3
L1,W,L1,L1,L1
W,L1,W,W,W
M,M,M,L5,L5
L5,L5,L5,L3,L3
L3,L3,L3,L4,L4
L4,L4,L4,H4,H4
L2,L2,L2,L2,L2
H4,H4,H4,H2,H2
H2,H2,H2,L1,L1
L1,L1,L1,L5,L5
L5,L5,L5,L3,L3
L3,L3,L3,L4,L4
L4,L4,L4,M,M
L2,L2,L2,L2,L2
H3,H3,H3,H3,H3
L5,L5,L5,L5,L5
L1,L1,L1,L1,L1
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L2,L2,L2,L2,L2
H1,H1,H1,H1,H1
H4,H4,H4,H4,H4
L5,L5,L5,S,S
L3,L3,L3,L5,L5
L4,L4,L4,L3,L3
L1,L1,L1,L4,L4
L2,L2,L2,L1,L1
H2,H2,H2,H2,H2
L5,L5,L5,L2,L2
W,W,W,L5,L5
L3,L3,L3,W,W
L4,L4,L4,L3,L3
L1,L1,L1,L4,L4
L2,H3,L2,L1,L1
L5,L2,L5,L5,L5
H3,L5,H3,L2,L2
L3,L3,L3,H3,H3
L4,L4,L4,L3,L3
H4,H4,H4,L4,L4
L1,L1,L1,H4,H4
L2,L2,L2,L1,L1
L5,L5,L5,L5,L5
H1,H1,H1,L2,L2
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L1,H2,L1,H1,H1
L5,L1,L5,L1,L1
L2,L5,L2,L5,L5
H2,L2,H2,H2,H2
L3,H3,L3,L2,L2
L4,L3,L4,L3,L3
W,L4,W,L4,L4
L5,L5,L5,W,W
H3,W,H3,L5,L5
L1,L1,L1,H3,H3
L2,L2,L2,L1,L1
H4,H4,H4,H4,H4
L3,L3,L3,L2,L2
L4,L4,L4,L3,L3
L5,L5,L5,L4,L4
M,M,M,L5,L5
L1,L1,L1,M,M
L2,L2,L2,L1,L1
L3,L3,L3,L2,L2
L4,L4,L4,L3,L3
L5,L5,L5,L4,L4
H1,H1,H1,L5,L5
S,H3,S,H2,H2
H2,H2,H2,H1,H1
L2,L2,L2,L1,L1
L1,L1,L1,L3,L3
L3,L3,L3,L4,L4
L4,L4,L4,L2,L2
L5,L5,L5,L5,L5
H4,H4,H4,H4,H4
H3,L2,H3,H3,H3
L2,L1,L2,L1,L1
L1,L3,L1,L3,L3
L3,L4,L3,L4,L4
L4,L5,L4,L5,L5
L5,W,L5,L2,L2
W,L2,W,W,W
L2,L3,L2,L3,L3
L3,L5,L3,L4,L4
L5,L4,L5,L5,L5
L4,L1,L4,L1,L1
L1,H3,L1,L2,L2
H4,H4,H4,H4,H4
H2,H2,H2,H2,H2
H3,L5,H3,L5,L5
L5,L3,L5,L3,L3
L3,L4,L3,L4,L4
L4,L2,L4,H3,H3
L2,L1,L2,L1,L1
L1,H1,L1,L2,L2
H1,L5,H1,H1,H1
L5,L3,L5,L5,L5
L3,S,L3,L3,L3
L4,L4,L4,L4,L4
L2,L2,L2,L2,L2
L1,L1,L1,L1,L1
L5,W,L5,L5,L5
W,L5,W,W,W
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
H4,H4,H4,H4,H4
L2,L2,L2,L2,L2
L1,H3,L1,L1,L1
L5,L1,L5,L5,L5
H3,L5,H3,H3,H3
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
H2,H2,H2,H2,H2
L2,L2,L2,M,M
M,M,M,L2,L2
L5,L5,L5,L5,L5
L1,L1,L1,L1,L1
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
H1,H1,H1,H1,H1
L2,L2,L2,L5,L5
L5,L5,L5,L2,L2
H4,H4,H4,L1,L1
L1,L1,L1,H4,H4
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
H3,H3,H3,L5,L5
L5,L5,L5,H3,H3
L2,L2,L2,L2,L2
L1,L1,L1,L1,L1
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
W,W,W,W,W
H2,H2,H2,L5,L5
L5,L5,L5,H2,H2
L2,L2,L2,L2,L2
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L1,L1,L1,L1,L1
L5,H4,L5,L5,L5
H4,L5,H4,H4,H4
H1,H1,H1,H1,H1
L2,L2,L2,L2,L2
L3,H3,L3,L3,L3
L4,L3,L4,L4,L4
L1,L4,L1,L1,L1
L5,L1,L5,L5,L5
H3,L5,H3,H3,H3
L2,L2,L2,L2,L2
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L5,L5,L5,L5,L5
L1,L1,L1,L1,L1
H2,H2,H2,H2,H2
H4,H4,H4,H4,H4
W,W,W,W,W
L2,L2,L2,L2,L2
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L5,L5,L5,L5,L5
L1,L1,L1,L1,L1
H1,H3,H1,H1,H1
M,H1,M,H3,H3
L2,L2,L2,L3,L3
L3,L3,L3,L4,L4
L5,L5,L5,L5,L5
L4,L4,L4,L2,L2
H3,M,H3,L1,L1
L1,L1,L1,M,M
L5,L5,L5,L5,L5
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L2,L2,L2,L2,L2
H4,H4,H4,H4,H4
H2,H2,H2,H2,H2
L1,L1,L1,L1,L1
L5,L5,L5,L5,L5
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L2,L2,L2,L2,L2
W,H3,W,W,W
H3,W,H3,H3,H3
L5,L5,L5,L5,L5
L1,L1,L1,L1,L1
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L2,L2,L2,L2,L2
H1,H1,H1,H1,H1
L5,L5,L5,L5,L5
H4,H4,H4,H4,H4
L1,L1,L1,L1,L1
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L2,L2,L2,L2,L2
L5,L5,L5,L5,L5
H2,H2,H2,H2,H2
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L1,L1,L1,L1,L1
L2,L2,L2,L2,L2
L5,H3,L5,L5,L5
H3,L5,H3,H3,H3
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
H4,H4,H4,H4,H4
L1,L1,L1,L1,L1
L5,L5,L5,L5,L5
L2,L2,L2,L2,L2
W,W,W,W,W
H1,H1,H1,H1,H1
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L1,L1,L1,L1,L1
L5,L5,L5,L5,L5
L2,L2,L2,L2,L2
H2,H2,H2,H2,H2
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
M,H3,M,M,M
L5,L5,L5,L5,L5
H3,L1,H3,H3,H3
L1,L2,L1,L1,L1
L2,H4,L2,L2,L2
H4,M,H4,H4,H4
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L5,L5,L5,L5,L5
L1,L1,L1,L1,L1
L2,L2,L2,L2,L2
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L5,L5,L5,L5,L5
W,W,W,W,W
H1,H1,H1,H1,H1
H2,H2,H2,H2,H2
L1,L1,L1,L1,L1
L2,L2,L2,L2,L2
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L5,L5,L5,L5,L5
H3,H3,H3,H3,H3
H4,H4,H4,H4,H4
L1,L1,L1,L1,L1
L2,L2,L2,L2,L2
L3,L3,L3,L3,L3
L4,L4,L4,L4,L4
L5,L5,L5,L5,L5
